,pm10,so2,co,o3,no2,max,critical,category
1437,57.0,7.0,20.0,117.0,12.0,117.0,O3,UNHEALTHY
1438,55.0,4.0,28.0,88.0,12.0,88.0,O3,MODERATE
1439,45.0,8.0,12.0,142.0,3.0,142.0,O3,UNHEALTHY
1440,57.0,5.0,16.0,96.0,11.0,96.0,O3,MODERATE
1441,40.0,19.0,22.0,53.0,20.0,53.0,O3,MODERATE
1442,56.0,18.0,57.0,69.0,12.0,69.0,O3,MODERATE
1443,30.0,18.0,22.0,79.0,6.0,79.0,O3,MODERATE
1444,50.0,18.0,34.0,101.0,6.0,101.0,O3,UNHEALTHY
1445,41.0,6.0,21.0,141.0,18.0,141.0,O3,UNHEALTHY
1446,52.0,18.0,17.0,132.0,12.0,132.0,O3,UNHEALTHY
1447,72.0,18.0,54.0,123.0,21.0,123.0,O3,UNHEALTHY
1448,53.0,18.0,17.0,117.0,6.0,117.0,O3,UNHEALTHY
1449,52.0,6.0,22.0,79.0,8.0,79.0,O3,MODERATE
1450,57.0,4.0,50.0,34.0,9.0,57.0,PM10,MODERATE
1451,26.0,6.0,12.0,54.0,3.0,54.0,O3,MODERATE
1452,27.0,7.0,15.0,53.0,3.0,53.0,O3,MODERATE
1453,30.0,6.0,9.0,47.0,12.0,47.0,O3,GOOD
1454,57.0,9.0,32.0,63.0,12.0,63.0,O3,MODERATE
1455,51.0,6.0,27.0,72.0,12.0,72.0,O3,MODERATE
1456,72.0,8.0,49.0,71.0,12.0,72.0,PM10,MODERATE
1457,67.0,7.0,46.0,65.0,12.0,67.0,PM10,MODERATE
1458,53.0,8.0,17.0,63.0,6.0,63.0,O3,MODERATE
1459,35.0,10.0,9.0,67.0,4.0,67.0,O3,MODERATE
1460,17.0,5.0,10.0,69.0,12.0,69.0,O3,MODERATE
1461,77.0,3.0,39.0,54.0,13.0,77.0,PM10,MODERATE
1462,37.0,7.0,29.0,74.0,7.0,74.0,O3,MODERATE
1463,55.0,8.0,34.0,97.0,8.0,97.0,O3,MODERATE
1464,23.0,6.0,36.0,57.0,12.0,57.0,O3,MODERATE
1465,39.0,4.0,18.0,48.0,10.0,48.0,O3,GOOD
